212,"Via Galileo Galilei 212, 41126, Modena Italy",https://www.tripadvisor.com/Restaurant_Review-g187803-d743384-Reviews-212-Modena_Province_of_Modena_Emilia_Romagna.html#REVIEWS,http://www.ristorante212.it/,"Italian, Bar, Cafe, Mediterranean, European, Emilian, Northern-Italian",785,0,3,4,2,1
O&C Restaurant,"Beirut to Tripoli Highway, Beirut Lebanon",https://www.tripadvisor.com/Restaurant_Review-g294005-d2517171-Reviews-O_C_Restaurant-Beirut.html#REVIEWS,https://www.facebook.com/OandCthefreshmarket/,"Seafood, Sushi",78,25,31,11,0,1
A.O.C.,"8700 W 3rd St, Los Angeles, CA 90048-3804",https://www.tripadvisor.com/Restaurant_Review-g32655-d350445-Reviews-A_O_C-Los_Angeles_California.html#REVIEWS,http://www.aocwinebar.com/,Wine Bar,455,228,138,41,17,6
Alain Ducasse at The Dorchester,"53 Park Lane Closest tube stations: Hyde Park Corner and Marble Arch, London W1K 1QA England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html#REVIEWS,https://www.dorchestercollection.com/london/the-dorchester/dining/alain-ducasse,"French, European, Contemporary",1763,1033,238,143,83,46
Balthazar,"80 Spring St, New York City, NY 10012-3907",https://www.tripadvisor.com/Restaurant_Review-g60763-d423353-Reviews-Balthazar-New_York_City_New_York.html#REVIEWS,http://balthazarny.com/,"French, European, Soups",6546,2341,1348,459,146,106
Brasserie Barbes,"2 boulevard Barbes Métro Barbès Rochechouart, 75018 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d8264534-Reviews-Brasserie_Barbes-Paris_Ile_de_France.html#REVIEWS,http://www.brasseriebarbes.com/#presentation,"French, Bar, European",929,57,40,19,15,13
Bistro Six-One,"61 Queen St, Niagara-on-the-Lake, Ontario ONL0S Canada",https://www.tripadvisor.com/Restaurant_Review-g154999-d1535885-Reviews-Bistro_Six_One-Niagara_on_the_Lake_Ontario.html#REVIEWS,http://www.bistrosixone.com/,"Pizza, Canadian",1064,364,379,163,53,48
Terminus Nord,"23 rue de Dunkerque 23 Rue de Dunkerque, 75010 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719935-Reviews-Terminus_Nord-Paris_Ile_de_France.html#REVIEWS,https://www.terminusnord.com/?y_source=1_MTE2NjUxODItNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"French, European",2232,360,361,126,61,52
Le Bistrot d'Henri,"16 rue Princesse, 75006 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719036-Reviews-Le_Bistrot_d_Henri-Paris_Ile_de_France.html#REVIEWS,http://bistrotdhenri.fr/,"French, European",957,374,158,27,21,25
Le Bistro des Amis,"1 Jerry Croft, Skipton BD23 1DX England",https://www.tripadvisor.com/Restaurant_Review-g209940-d2150060-Reviews-Le_Bistro_des_Amis-Skipton_North_Yorkshire_England.html#REVIEWS,http://www.lebistrodesamis.co.uk/,"French, European",1524,1059,272,111,52,23
Brasserie Chez Julien,"10 avenue Camille Page, 86100 Chatellerault France",https://www.tripadvisor.com/Restaurant_Review-g196665-d8179256-Reviews-Brasserie_Chez_Julien-Chatellerault_Vienne_Nouvelle_Aquitaine.html#REVIEWS,http://www.facebook.com/brasseriejulien,"French, Bar, International, Grill",232,2,5,2,0,0
Cafe Gitane,"242 Mott St Frnt 2, New York City, NY 10012-3434",https://www.tripadvisor.com/Restaurant_Review-g60763-d424294-Reviews-Cafe_Gitane-New_York_City_New_York.html#REVIEWS,http://www.cafegitanenyc.com/,"American, Cafe, Middle Eastern",348,90,86,20,18,6
Copinette,"891 1st Ave., New York City, NY 10022",https://www.tripadvisor.com/Restaurant_Review-g60763-d14091454-Reviews-Copinette-New_York_City_New_York.html#REVIEWS,https://copinettenyc.com/,"American, Contemporary",49,27,10,3,0,3
Loup,"44 rue du Louvre 75001, 75001 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d5797702-Reviews-Loup-Paris_Ile_de_France.html#REVIEWS,http://www.loup-paris.com/,"French, Bar, European, Healthy",640,63,62,20,10,10
Cafe Un Deux Trois,"123 W 44th St, New York City, NY 10036-4089",https://www.tripadvisor.com/Restaurant_Review-g60763-d495858-Reviews-Cafe_Un_Deux_Trois-New_York_City_New_York.html#REVIEWS,http://www.cafeundeuxtrois.com/,"French, Cafe, European",1705,443,617,252,96,34
Café des Artistes,"Calle Guadalupe Sanchez 740 Centro, Puerto Vallarta 48300 Mexico",https://www.tripadvisor.com/Restaurant_Review-g150793-d801179-Reviews-Cafe_des_Artistes-Puerto_Vallarta.html#REVIEWS,http://www.cafedesartistes.com/,"Mexican, French, International",6541,3663,368,200,108,84
Cafe du Soleil,"4-5 Pound Lane, Canterbury CT1 2BZ England",https://www.tripadvisor.com/Restaurant_Review-g186311-d1958801-Reviews-Cafe_du_Soleil-Canterbury_Kent_England.html#REVIEWS,http://www.cafedusoleil.co.uk/,"Pizza, Mediterranean, European, British",1662,1093,394,77,34,12
Café Saint Pierre,"Place Benjamin Constant 1, Lausanne 1003 Switzerland",https://www.tripadvisor.com/Restaurant_Review-g188107-d3404960-Reviews-Cafe_Saint_Pierre-Lausanne_Canton_of_Vaud.html#REVIEWS,http://www.cafesaintpierre.ch/,"French, Bar, Cafe, European, International",261,11,21,12,6,3
Chez Casimir,"Gare du Nord 6 rue de Belzunce, 75010 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d714943-Reviews-Chez_Casimir-Paris_Ile_de_France.html#REVIEWS,http://www.ruedebelzunce.com/,"French, European",681,132,84,16,7,11
Chez Josephine,"414 W 42nd St Frnt A, New York City, NY 10036-6806",https://www.tripadvisor.com/Restaurant_Review-g60763-d457179-Reviews-Chez_Josephine-New_York_City_New_York.html#REVIEWS,http://chezjosephinenyc.com/,"French, European, International",1005,469,258,94,35,28
Chez Georges,"1 rue du Mail, 75002 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d714962-Reviews-Chez_Georges-Paris_Ile_de_France.html#REVIEWS,https://www.facebook.com/chezgeorges1965/,"French, European",685,242,114,34,16,15
Le 7 Restaurant Panoramique - La Cité du Vin,"4 Esplanade de Pontac, 33300, Bordeaux France",https://www.tripadvisor.com/Restaurant_Review-g187079-d10379529-Reviews-Le_7_Restaurant_Panoramique_La_Cite_du_Vin-Bordeaux_Gironde_Nouvelle_Aquitaine.html#REVIEWS,https://www.le7restaurant.fr/,"French, European, Contemporary",1018,32,33,15,8,6
Hotzenplotz,"Hector Calvo 331 Cerro Bellavista, Valparaiso 2381551 Chile",https://www.tripadvisor.com/Restaurant_Review-g294306-d7018119-Reviews-Hotzenplotz-Valparaiso_Valparaiso_Region.html#REVIEWS,http://www.facebook.com/HotzenplotzValpo/,"German, Bar, European, Central European",229,45,8,1,1,2
Mel's Country Cafe,"24814 Stanolind Rd, Tomball, TX 77375-3170",https://www.tripadvisor.com/Restaurant_Review-g56780-d470944-Reviews-Mel_s_Country_Cafe-Tomball_Texas.html#REVIEWS,http://www.melscountrycafe.com/,"American, Cafe, Diner",469,307,114,28,8,8
Daniel,"60 East 65th Street, New York City, NY 10065-7056",https://www.tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html#REVIEWS,http://www.danielnyc.com/,French,3392,2129,310,143,57,39
Comptoir Darna Marrakech,"Avenue Echouhada Hivernage, Marrakech 40000 Morocco",https://www.tripadvisor.com/Restaurant_Review-g293734-d816225-Reviews-Comptoir_Darna_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,http://www.comptoirmarrakech.com/,"French, Moroccan, Mediterranean, European, International",7660,2230,733,177,41,33
DB Bistro & Oyster Bar,"2 Bayfront Avenue B1-48, Galleria Level The Shoppes at Marina Bay Sands, Singapore 018958 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d1964876-Reviews-DB_Bistro_Oyster_Bar-Singapore.html#REVIEWS,http://www.dbbistro.com/singapore/,French,1693,828,394,165,63,48
Aux Deux Amis,"45 rue Oberkampf 75011, 75011 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d3158528-Reviews-Aux_Deux_Amis-Paris_Ile_de_France.html#REVIEWS,http://www.facebook.com/Aux-Deux-Amis-120307971356817,"French, European, Wine Bar",162,17,11,8,3,8
L'Epicerie,"46 Place Michel Debre, 37400, Amboise France",https://www.tripadvisor.com/Restaurant_Review-g187116-d1060988-Reviews-L_Epicerie-Amboise_Indre_et_Loire_Centre_Val_de_Loire.html#REVIEWS,http://www.lepicerie-amboise.com/,"French, European",1185,168,122,47,18,18
Cafe Normandie,"185 Main St, Annapolis, MD 21401-2006",https://www.tripadvisor.com/Restaurant_Review-g29494-d518152-Reviews-Cafe_Normandie-Annapolis_Maryland.html#REVIEWS,http://www.cafenormandie.com/,French,538,242,156,71,38,25
Felix,"Salisbury Road 28/F, The Peninsula Hong Kong, Kowloon, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d940224-Reviews-Felix-Hong_Kong.html#REVIEWS,http://www.peninsula.com/felix,"European, Contemporary",1102,351,219,121,49,29
Indochine,"430 Lafayette St, New York City, NY 10003-6916",https://www.tripadvisor.com/Restaurant_Review-g60763-d423303-Reviews-Indochine-New_York_City_New_York.html#REVIEWS,http://www.indochinenyc.com/,"Asian, Vietnamese",371,110,96,36,14,13
JoJo,"160 E 64th St between Lexington and 3rd Ave., New York City, NY 10065-7412",https://www.tripadvisor.com/Restaurant_Review-g60763-d482185-Reviews-JoJo-New_York_City_New_York.html#REVIEWS,http://www.jojorestaurantnyc.com/,American,125,61,29,10,13,2
Chez Jules,"71 Northgate Street, Chester CH1 2HQ England",https://www.tripadvisor.com/Restaurant_Review-g186233-d732106-Reviews-Chez_Jules-Chester_Cheshire_England.html#REVIEWS,http://www.chezjules.com/,"French, European, Healthy",2326,1446,526,177,92,60
Mumbai Kitchen,"Jalan Pantai Berawa Finns Beach Club, Canggu 80361 Indonesia",https://www.tripadvisor.com/Restaurant_Review-g311298-d17643064-Reviews-Mumbai_Kitchen-Canggu_North_Kuta_Bali.html#REVIEWS,http://www.mumbaikitchenbali.com/,"Indian, Bar, Asian, Pub",661,511,5,2,1,0
L'Absinthe,"24 Place du Marche Saint Honore, 75001 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718101-Reviews-L_Absinthe-Paris_Ile_de_France.html#REVIEWS,http://www.restaurantabsinthe.com/,"French, Contemporary, European",900,194,136,41,16,15
L'Entrecote,"4 cours du 30 Juillet, 33000, Bordeaux France",https://www.tripadvisor.com/Restaurant_Review-g187079-d803318-Reviews-L_Entrecote-Bordeaux_Gironde_Nouvelle_Aquitaine.html#REVIEWS,http://entrecote.fr/,"French, Steakhouse, European",4718,511,271,78,21,29
L'Express,"3927 rue St-Denis At rue Roy, Montreal, Quebec H2W 2M4 Canada",https://www.tripadvisor.com/Restaurant_Review-g155032-d705775-Reviews-L_Express-Montreal_Quebec.html#REVIEWS,http://www.restaurantlexpress.ca/,"French, European",1248,589,281,91,29,19
La Bergamote,"120 rue de Lorraine, 88150 Thaon-les-Vosges France",https://www.tripadvisor.com/Restaurant_Review-g2544521-d4584550-Reviews-La_Bergamote-Thaon_les_Vosges_Vosges_Grand_Est.html#REVIEWS,http://www.restaurant-la-bergamote.fr/,"French, European",295,182,79,18,9,7
La Bonne Franquette,"18 Rue Saint Rustique Angle 2, Rue des Saules, 75018 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718623-Reviews-La_Bonne_Franquette-Paris_Ile_de_France.html#REVIEWS,http://www.labonnefranquette.com/,"French, European",1133,252,68,24,11,9
Los Montes de Galicia,"Calle Azcona 46, 28028 Madrid Spain",https://www.tripadvisor.com/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html#REVIEWS,http://www.losmontesdegalicia.es/,"Spanish, International, Mediterranean, Healthy",11346,1730,135,29,5,6
La Mediterranee,"32 Place du Commandant Lamy, 06250 Mougins France",https://www.tripadvisor.com/Restaurant_Review-g187232-d1757310-Reviews-La_Mediterranee-Mougins_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.facebook.com/brasserie.lamediterranee/,French,1540,111,77,28,19,36
La Mirabelle,"Chaussee de Boondael 459, Brussels 1050 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188644-d787766-Reviews-La_Mirabelle-Brussels.html#REVIEWS,http://www.mirabelle.be/,"French, Belgian, European",296,11,24,14,7,6
La Petite Auberge,"164 rue Martainville, 76000, Rouen France",https://www.tripadvisor.com/Restaurant_Review-g187191-d1540927-Reviews-La_Petite_Auberge-Rouen_Seine_Maritime_Haute_Normandie_Normandy.html#REVIEWS,http://www.restaurant-petite-auberge.fr/,"French, European, Healthy",1426,210,66,18,5,6
La Ripaille,"2/4 rue de la Foire, 34120, Pezenas France",https://www.tripadvisor.com/Restaurant_Review-g616105-d3438415-Reviews-La_Ripaille-Pezenas_Herault_Occitanie.html#REVIEWS,http://www.facebook.com/La-Ripaille-1111729492218827,"Mediterranean, Healthy",428,15,29,5,2,3
Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html#REVIEWS,http://www.le-bernardin.com/,French,3594,2222,412,203,58,46
Le Boeuf a la mode,"4 rue au Pain, 78000, Versailles France",https://www.tripadvisor.com/Restaurant_Review-g187148-d776661-Reviews-Le_Boeuf_a_la_mode-Versailles_Yvelines_Ile_de_France.html#REVIEWS,http://www.leboeufalamode-versailles.com/en,"French, European",1222,126,124,40,24,13
Le Charlot,"19 E 69th St, New York City, NY 10021-4921",https://www.tripadvisor.com/Restaurant_Review-g60763-d534194-Reviews-Le_Charlot-New_York_City_New_York.html#REVIEWS,http://places.singleplatform.com/le-charlot/menu,"French, European",185,46,59,21,6,15
Les Deux Gamins,"170 Prince-Arthur East Hotel de Ville, Plateau Mont-Royal, Montreal, Quebec H2X 1B7 Canada",https://www.tripadvisor.com/Restaurant_Review-g155032-d706260-Reviews-Les_Deux_Gamins-Montreal_Quebec.html#REVIEWS,http://www.lesdeuxgaminsmontreal.com/,"French, European",267,101,71,14,5,6
Le Gigot,"18 Cornelia St Frnt 1, New York City, NY 10014-4138",https://www.tripadvisor.com/Restaurant_Review-g60763-d423252-Reviews-Le_Gigot-New_York_City_New_York.html#REVIEWS,http://www.legigotrestaurant.com/,"French, European",179,111,45,15,2,1
Le Jardin,"31 D Thai Van Lung Dong Khoi Area, Ho Chi Minh City Vietnam",https://www.tripadvisor.com/Restaurant_Review-g293925-d1122187-Reviews-Le_Jardin-Ho_Chi_Minh_City.html#REVIEWS,http://www.lejardin.com.vn/,"French, European",428,96,134,49,15,16
Le Madeleine 7,"7 boulevard de la Madeleine, 75001 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d1116686-Reviews-Le_Madeleine_7-Paris_Ile_de_France.html#REVIEWS,http://madeleine7.fr/,"French, Bar, European",497,64,87,22,9,8
Le Cafe du Monde,"84 rue Dalhousie Suite 140, Quebec City, Quebec G1K 8M5 Canada",https://www.tripadvisor.com/Restaurant_Review-g155033-d706051-Reviews-Le_Cafe_du_Monde-Quebec_City_Quebec.html#REVIEWS,http://www.lecafedumonde.com/,"French, Canadian",1072,271,228,83,23,15
Le Petit Léon,"le Bourg, 24290 Saint-Leon-sur-Vezere, Montignac France",https://www.tripadvisor.com/Restaurant_Review-g2301679-d2282681-Reviews-Le_Petit_Leon-Saint_Leon_sur_Vezere_Montignac_Dordogne_Nouvelle_Aquitaine.html#REVIEWS,http://www.lepetitleon.com/,"French, European",995,349,10,4,0,0
Le Pescadou,"2 Place dei Barri 2 Place Dei Barri, 83580 Gassin, Saint-Tropez France",https://www.tripadvisor.com/Restaurant_Review-g196703-d1160660-Reviews-Le_Pescadou-Gassin_Saint_Tropez_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_.html#REVIEWS,http://www.lepescadou-gassin.com/,"French, Mediterranean, European",1157,114,41,7,6,6
Le Refuge,"144 route de la Bresse, 88400 Gerardmer France",https://www.tripadvisor.com/Restaurant_Review-g196614-d1115511-Reviews-Le_Refuge-Gerardmer_Vosges_Grand_Est.html#REVIEWS,http://www.lerefuge-gerardmer.fr/,"French, Barbecue, European",1261,11,8,1,0,0
Le Rivage,"340 W 46th St Between 8th and 9th avenue, New York City, NY 10036-3928",https://www.tripadvisor.com/Restaurant_Review-g60763-d424557-Reviews-Le_Rivage-New_York_City_New_York.html#REVIEWS,http://www.lerivagenyc.com/,"French, European",901,427,274,86,42,13
Le Cerf Vert,"Avenue Winston-Churchill 32, Dinant 5500 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188662-d14950340-Reviews-Le_Cerf_Vert-Dinant_The_Ardennes_Wallonia.html#REVIEWS,http://www.lecerfvert.be/,"Belgian, Bar, Cafe, European, Wine Bar, Gastropub, Street Food",154,35,0,0,3,1
Les Enfants Terribles,"1 Quai Bonaparte, Place Du Cap Menton, 06500, Menton France",https://www.tripadvisor.com/Restaurant_Review-g187231-d10552006-Reviews-Les_Enfants_Terribles-Menton_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Az.html#REVIEWS,http://www.facebook.com/Les-enfants-terribles-de-Menton-1769064293325659/,"Italian, French, Seafood, Mediterranean, Healthy",885,53,29,10,11,7
The Modern,"9 W 53rd St Museum of Modern Art, New York City, NY 10019-5401",https://www.tripadvisor.com/Restaurant_Review-g60763-d549201-Reviews-The_Modern-New_York_City_New_York.html#REVIEWS,http://www.themodernnyc.com/,"Contemporary, American",2141,1247,334,101,37,22
Mon Petit Choux,"101 Commercial St, Nanaimo, British Columbia V9R 5G5 Canada",https://www.tripadvisor.com/Restaurant_Review-g154935-d1636700-Reviews-Mon_Petit_Choux-Nanaimo_Vancouver_Island_British_Columbia.html#REVIEWS,http://www.monpetitchoux.ca/,"French, Cafe, Canadian",328,156,97,30,21,11
Le Montrachet Restaurant,"10 Place du Paquier de la Fontaine, 21190 Puligny-Montrachet, Beaune France",https://www.tripadvisor.com/Restaurant_Review-g672979-d719168-Reviews-Le_Montrachet_Restaurant-Puligny_Montrachet_Beaune_Cote_d_Or_Bourgogne_Franche_Com.html#REVIEWS,http://www.comohotels.com/burgundy/como-le-montrachet/dining/le-montrachet-restaurant,"French, European",771,206,72,29,11,6
Nice Matin,"201 W 79th St, New York City, NY 10024-6200",https://www.tripadvisor.com/Restaurant_Review-g60763-d423776-Reviews-Nice_Matin-New_York_City_New_York.html#REVIEWS,https://nicematinnyc.com/,"French, American, European",962,307,365,129,47,33
Le Bistro du Paradou,"57 avenue de la Vallee des Baux, 13520 Paradou France",https://www.tripadvisor.com/Restaurant_Review-g1080069-d2148591-Reviews-Le_Bistro_du_Paradou-Paradou_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.facebook.com/pages/Bistrot-du-Paradou/251201064893399,"French, European, Healthy",694,200,42,14,8,3
Pascalou,"1308 Madison Ave, New York City, NY 10128-1351",https://www.tripadvisor.com/Restaurant_Review-g60763-d458217-Reviews-Pascalou-New_York_City_New_York.html#REVIEWS,http://www.pascalou.info/,"French, European",259,139,65,17,4,11
Pastis,"52 Gansevoort St, New York City, NY 10014-1401",https://www.tripadvisor.com/Restaurant_Review-g60763-d17826681-Reviews-Pastis-New_York_City_New_York.html#REVIEWS,https://pastisnyc.com/,"French, European",160,74,25,14,4,7
Per Se,"10 Columbus Cir, New York City, NY 10019-1158",https://www.tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html#REVIEWS,http://www.perseny.com/,French,1867,1193,220,104,48,21
Pershing Square Restaurant,"90 E 42nd St, New York City, NY 10017-5409",https://www.tripadvisor.com/Restaurant_Review-g60763-d502744-Reviews-Pershing_Square_Restaurant-New_York_City_New_York.html#REVIEWS,http://www.pershingsquare.com/,"American, Cafe",2615,911,810,228,70,58
Restaurant Petrossian,"13 boulevard de la Tour Maubourg, 75007 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d922937-Reviews-Restaurant_Petrossian-Paris_Ile_de_France.html#REVIEWS,http://restaurant.petrossian.fr/,"French, Gastropub",225,14,5,3,1,2
Pigalle Restaurant,"57 Somerset Road Multipro Hse, Cape Town Central 8005 South Africa",https://www.tripadvisor.com/Restaurant_Review-g312659-d812823-Reviews-Pigalle_Restaurant-Cape_Town_Central_Western_Cape.html#REVIEWS,http://www.pigallerestaurants.co.za/,"Seafood, Mediterranean, European, Soups",1384,799,252,71,37,13
Raoul's,"180 Prince St, New York City, NY 10012-2924",https://www.tripadvisor.com/Restaurant_Review-g60763-d423347-Reviews-Raoul_s-New_York_City_New_York.html#REVIEWS,http://raouls.com/,French,422,231,100,32,7,8
Rue 57,"60 W 57th St, New York City, NY 10019-3953",https://www.tripadvisor.com/Restaurant_Review-g60763-d457837-Reviews-Rue_57-New_York_City_New_York.html#REVIEWS,http://www.rue57.com/,"Japanese, American",2552,749,835,269,104,88
Seppi's in Gerlos,"Haus 307, Gerlos 6281 Austria",https://www.tripadvisor.com/Restaurant_Review-g651666-d7616441-Reviews-Seppi_s_in_Gerlos-Gerlos_Tirol_Austrian_Alps.html#REVIEWS,https://www.seppis.cc/en/#restaurants,"Austrian, Bar, European, Central European",173,16,11,3,3,0
Steak Frites St-Paul,"200 boulevard Saint-Laurent, Montreal, Quebec H2Y 2Y3 Canada",https://www.tripadvisor.com/Restaurant_Review-g155032-d779452-Reviews-Steak_Frites_St_Paul-Montreal_Quebec.html#REVIEWS,http://www.steakfrites.ca/fr,Steakhouse,342,53,99,46,23,31
Ebony Table D'hote,"Royal Road La Marie, Vacoas-Phoenix, Mauritius",https://www.tripadvisor.com/Restaurant_Review-g23088120-d15692169-Reviews-Ebony_Table_D_hote-Vacoas_Phoenix.html#REVIEWS,https://www.facebook.com/ebonytabledhote,"Indian, Healthy",271,54,16,11,9,21
Tartine Bakery,"600 Guerrero St, San Francisco, CA 94110-1528",https://www.tripadvisor.com/Restaurant_Review-g60713-d360064-Reviews-Tartine_Bakery-San_Francisco_California.html#REVIEWS,http://www.tartinebakery.com/,"French, American, Cafe",1283,670,295,117,25,24
15 EAST @ Tocqueville,"1 E 15th St Between Union Square West and 5th Avenue, New York City, NY 10003-3102",https://www.tripadvisor.com/Restaurant_Review-g60763-d457830-Reviews-15_EAST_Tocqueville-New_York_City_New_York.html#REVIEWS,https://15easttocquevillenyc.com/,"French, Sushi, Japanese, Asian",453,259,91,39,20,8
0,Le Colonial,Le Colonial,"57 E. Oak Street, Chicago, IL 60611-1422",https://www.tripadvisor.com/Restaurant_Review-g35805-d429411-Reviews-Le_Colonial-Chicago_Illinois.html#REVIEWS,http://www.lecolonialchicago.com/,"Asian, Vietnamese",1175,604,287,109,28,18
