InMichelin,food,service,price,decor,number_of_reviews,excellent,very_good,average,poor,terrible,sentiment_polarity,sentiment_subjectivity
0,19,19,50,20,1127,164,205,148,138,231,0.057940068,0.527306791
0,17,16,43,17,785,0,3,4,2,1,,
1,19,16,52,23,853,624,128,49,18,14,,
0,23,19,24,12,4487,2812,334,139,54,37,0.532854125,0.672855713
0,18,17,36,17,78,25,31,11,0,1,,
1,24,22,51,21,455,228,138,41,17,6,,
1,23,21,61,22,1098,329,83,19,5,3,0.389175882,0.597338877
1,27,27,179,27,1763,1033,238,143,83,46,0.308294187,0.58050811
0,20,19,42,17,411,355,24,6,5,2,0.471690709,0.694560104
0,25,27,71,26,720,418,104,61,65,71,,
1,23,20,50,20,592,89,43,17,13,5,,
1,23,23,82,27,238,121,47,18,9,4,0.452416011,0.636075155
0,27,27,95,25,369,251,52,17,7,10,0.315265369,0.602925481
1,23,20,51,23,6547,2341,1348,459,146,106,0.075582164,0.574845664
1,24,24,64,25,800,540,172,40,21,17,,
0,17,17,52,24,780,306,111,26,12,47,0.364356256,0.635918423
1,21,20,39,18,1266,531,351,150,86,96,0.332581486,0.601586381
1,21,19,50,17,580,356,145,44,15,11,0.421015745,0.582974385
0,17,17,41,14,957,374,158,27,21,25,0.323939532,0.578237907
0,20,19,39,17,1524,1059,272,111,52,23,0.301335213,0.591560135
1,28,27,87,26,2742,1187,342,95,26,16,0.396005621,0.663424913
0,17,17,41,19,232,2,5,2,0,0,,
1,24,24,66,22,2001,1672,152,24,9,3,,
0,21,15,24,16,348,90,86,20,18,6,0.353706992,0.585983937
0,18,19,40,17,640,63,62,20,10,10,,
0,22,18,33,17,82,42,14,9,2,9,0.275753814,0.572765535
0,20,16,34,20,681,132,84,16,7,11,0.22779247,0.525459883
1,27,27,91,27,360,172,124,34,19,7,0.345682244,0.592634794
0,20,19,45,17,219,91,34,11,11,11,0.170296031,0.554893809
0,21,21,49,21,1005,469,258,94,35,28,0.239172085,0.641447323
0,18,16,28,14,1579,65,43,12,3,7,0.374644046,0.545725119
0,20,21,36,14,1348,1031,149,74,41,35,0.475193244,0.653940242
0,21,17,34,21,399,78,66,23,17,44,,
1,28,28,108,28,3392,2129,310,143,57,39,0.302688177,0.599134481
0,20,17,37,20,7660,2230,733,177,41,33,,
1,25,23,60,22,1693,828,394,165,63,48,0.549669347,0.673891872
0,20,20,43,16,162,17,11,8,3,8,0.24672308,0.577490396
1,20,20,51,23,464,257,131,36,22,11,0.328487909,0.556327762
0,21,15,34,18,801,552,132,48,18,10,,
0,20,16,32,19,1185,168,122,47,18,18,0.333456078,0.611167643
1,21,22,66,23,1453,1187,65,23,28,61,,
0,20,15,28,19,2110,1665,128,10,3,4,,
0,19,16,29,13,1960,42,31,8,8,4,,
1,25,23,65,20,638,206,17,5,4,1,0.441030799,0.645566755
1,23,21,47,21,1091,80,96,59,48,54,,
1,23,19,59,22,1547,735,25,11,5,8,,
0,21,17,48,20,371,110,96,36,14,13,0.233270321,0.611061214
0,24,22,25,13,56,22,10,0,0,0,0.43206452,0.576885669
0,18,18,40,17,835,668,92,49,12,6,0.304263463,0.559261822
1,22,23,50,20,263,39,23,7,7,2,,
1,23,20,41,15,118,49,46,10,4,2,,
1,27,27,95,26,1963,1112,229,113,58,39,0.324770321,0.60962323
1,25,23,65,23,125,61,29,10,13,2,0.364076157,0.625033493
0,20,17,35,20,2326,1446,526,177,92,60,,
0,23,23,46,19,661,511,5,2,1,0,,
1,21,18,50,22,96,48,22,11,1,3,0.464963958,0.654496376
1,22,20,60,23,900,194,136,41,16,15,,
1,24,23,43,20,746,108,32,8,6,3,,
0,20,23,45,15,4719,511,271,78,21,29,0.308493402,0.537097528
0,17,13,28,15,1248,589,281,91,29,19,0.221113841,0.567760595
0,17,17,34,17,498,38,24,7,3,1,,
0,26,14,13,13,295,182,79,18,9,7,,
0,18,16,28,14,1134,252,68,24,11,9,,
1,20,18,57,20,1458,47,24,9,7,5,0.305715071,0.557106997
1,27,27,88,27,924,587,127,64,22,26,0.198546717,0.567717073
0,22,19,39,15,11348,1730,135,29,5,6,0.471160155,0.63947459
1,19,20,47,19,598,32,16,5,3,0,,
0,21,22,45,17,296,11,24,14,7,6,0.297717165,0.611785294
0,20,21,43,15,1426,210,66,18,5,6,0.118785261,0.580446643
0,19,20,45,17,428,15,29,5,2,3,0.346032622,0.581810197
1,23,23,47,21,250,72,101,33,15,8,0.362564627,0.612975289
1,28,28,100,27,3594,2222,412,203,58,46,0.346120263,0.597496257
1,20,15,50,15,396,144,84,32,20,29,,
0,19,15,50,15,185,46,59,21,6,15,0.199170595,0.570001103
1,21,19,50,23,1175,604,287,109,28,18,0.325472437,0.62594933
0,20,14,22,17,267,101,71,14,5,6,0.359729147,0.602939571
1,25,23,50,19,179,111,45,15,2,1,0.330372958,0.564342061
0,21,19,40,18,428,96,134,49,15,16,0.281768571,0.542077012
0,20,19,44,19,497,64,87,22,9,8,,
0,20,16,50,14,1712,467,291,80,23,42,,
0,17,14,30,18,1072,271,228,83,23,15,0.409810656,0.611209815
0,18,19,46,15,1157,114,41,7,6,6,,
0,21,21,53,20,1261,11,8,1,0,0,,
0,20,20,41,16,901,427,274,86,42,13,0.331599949,0.570795722
0,19,16,36,17,155,35,0,0,3,1,0.461720423,0.670621303
1,23,21,40,15,1815,952,436,199,86,58,,
0,21,18,37,20,885,53,29,10,11,7,,
1,21,16,42,17,893,474,199,64,20,9,0.131010695,0.503176905
1,19,17,41,17,394,13,22,3,6,8,0.316265362,0.622068621
0,22,18,39,17,479,205,162,34,4,11,0.380537482,0.611287964
1,23,24,66,24,1196,680,331,129,34,19,,
1,20,19,48,19,2811,111,99,51,32,17,0.254676938,0.600136202
1,22,19,53,22,1520,338,371,184,70,67,0.206084037,0.578566864
0,18,17,41,18,2524,1067,772,248,85,60,,
1,25,22,70,26,2141,1247,334,101,37,22,0.2326623,0.534136018
0,19,17,34,14,328,156,97,30,21,11,,
0,20,18,43,19,1449,267,166,49,36,43,0.361501325,0.63508854
1,26,24,68,20,771,206,72,29,11,6,,
1,20,18,45,19,962,307,365,129,47,33,,
1,18,17,42,17,521,185,177,50,10,2,,
1,18,17,53,21,362,110,129,49,19,17,0.218525341,0.577291284
1,19,18,38,17,694,200,42,14,8,3,0.390964508,0.63077933
0,18,16,39,18,5559,724,515,311,184,173,,
1,21,20,48,18,540,356,107,39,17,12,,
1,21,20,33,20,603,431,107,24,23,16,0.382768943,0.610645583
0,20,17,39,13,259,139,65,17,4,11,0.304609146,0.601652027
1,21,17,43,21,160,74,25,14,4,7,,
1,24,19,51,21,91,62,14,5,2,4,,
1,28,28,201,27,1868,1193,220,104,49,21,0.28088279,0.564108534
0,15,15,38,16,2615,911,810,228,70,58,,
1,25,24,72,24,225,14,5,3,1,2,0.336091401,0.603842188
1,27,25,79,24,319,145,99,34,17,10,,
0,17,16,34,17,1384,799,252,71,37,13,0.381300147,0.64002603
0,21,20,52,21,1063,637,196,93,56,40,0.303293176,0.557960257
1,21,19,52,19,220,113,58,20,10,14,0.173225028,0.540314532
0,22,21,38,18,37,12,16,5,3,1,,
1,23,20,53,19,422,231,100,32,7,8,0.302521541,0.547253036
0,19,17,45,19,2552,749,835,269,104,88,0.264539942,0.56114027
1,21,19,55,26,1426,726,170,59,19,9,,
0,19,18,38,15,55,25,22,3,0,0,,
0,18,17,44,16,173,16,11,3,3,0,0.406330711,0.640185272
0,18,16,40,16,342,53,99,46,23,31,0.276129924,0.649771568
0,22,16,27,14,1283,670,295,117,25,24,,
1,25,24,65,21,453,259,91,39,20,8,0.3050368,0.623930382
1,25,22,65,22,1693,126,210,111,68,77,0.125194652,0.562317761
0,20,19,40,20,3205,1280,904,457,198,311,0.26010644,0.617565351
1,23,21,60,24,1127,164,205,148,138,231,0.066002857,0.535935508
1,45,45,40,45,756,319,50,27,6,9,0.318393432,0.568872123
1,45,45,40,45,926,49,20,6,4,4,0.348450971,0.601460063
1,45,45,40,45,282,64,23,10,1,2,0.36613633,0.591158904
1,50,45,45,,24,9,1,0,0,0,,
1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
1,45,50,40,45,555,362,79,30,20,12,0.345423814,0.615246757
1,45,50,40,,142,100,17,9,6,6,0.227181947,0.581426505
1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
1,45,50,40,45,1869,1193,220,105,49,21,0.295940691,0.593530976
1,45,45,40,35,522,307,83,42,17,8,0.35677332,0.596112824
1,45,45,40,40,629,405,93,54,26,13,0.391032766,0.63385739
1,45,50,40,45,1778,936,159,60,35,33,0.319728384,0.5872183
1,45,45,45,45,623,128,29,17,1,2,0.379800559,0.659571126
1,45,45,45,45,709,238,52,16,7,6,0.436669577,0.638481546
1,50,45,45,45,1157,611,67,30,18,7,0.391870604,0.633432224
1,45,45,40,,73,42,11,7,0,3,0.285261528,0.578209789
1,45,45,40,45,967,552,127,56,21,13,0.285062814,0.561185222
1,50,50,40,45,169,98,4,3,2,2,0.310307863,0.564128336
1,40,40,35,40,538,210,88,48,27,24,0.245155607,0.579921292
1,45,45,40,45,3594,2222,412,203,58,46,0.339978529,0.596733369
1,45,45,40,40,564,273,110,48,17,9,0.27583751,0.535582069
1,45,45,40,45,0,147,61,26,8,7,0.251096644,0.577158507
1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
1,50,45,40,45,185,90,22,8,2,4,0.332811452,0.564128105
1,50,50,45,45,691,169,11,3,6,1,0.32825783,0.57343058
1,45,45,45,45,1064,108,16,9,3,5,0.307425281,0.588449488
1,50,50,45,45,1673,753,65,25,7,6,0.332551327,0.60282573
1,50,45,45,45,440,64,18,1,0,1,0.369546468,0.604165674
1,50,45,45,45,440,64,18,1,0,1,0.369546468,0.604165674
1,45,45,40,40,723,234,78,29,13,17,,
1,50,50,45,45,247,43,2,1,1,0,0.333771802,0.551173093
1,50,45,45,50,256,30,2,0,0,0,,
1,50,45,45,45,273,48,4,7,0,4,0.311457592,0.547830836
1,50,50,45,,244,32,2,2,2,1,,
1,45,45,45,45,3136,2556,318,155,53,43,0.329225775,0.611921313
1,45,45,40,45,1763,1033,238,143,83,46,0.31883725,0.594747189
1,45,45,40,45,1319,777,178,97,62,25,0.282461018,0.611216108
1,45,50,40,45,2276,1763,214,91,65,57,0.369830247,0.564382716
1,45,50,40,45,3356,2185,317,151,60,41,0.260318965,0.59435756
1,45,50,40,45,3356,2185,317,151,60,41,0.260318965,0.59435756
1,45,50,40,45,1860,1517,170,90,26,19,0.405855835,0.637044296
1,45,45,45,40,619,111,23,13,4,0,0.357434767,0.593191616
1,45,45,45,45,1664,270,46,17,10,5,,
1,50,50,45,45,483,92,7,6,2,0,0.350102803,0.594742403
1,50,50,45,50,473,91,10,4,1,3,0.364360643,0.560561772
1,50,45,45,45,1246,85,7,2,0,0,0.33285821,0.577816726
1,50,50,45,45,1167,42,1,0,0,0,0.375511273,0.597038514
1,50,50,45,45,2694,147,19,9,4,3,0.411184125,0.636742555
1,45,50,45,,258,18,3,1,2,0,0.424625514,0.667437927
1,45,45,40,45,969,69,13,6,6,4,0.418219237,0.633220182
1,50,50,45,45,656,29,4,1,0,0,0.351011193,0.591544247
1,45,45,45,45,1839,228,42,13,8,3,0.429329406,0.612529576
1,50,45,45,45,616,61,5,4,2,2,0.368438786,0.561004731
1,50,50,40,50,2275,960,100,37,15,11,0.391214768,0.657689541
1,45,50,40,45,66,23,0,1,3,2,0.351904251,0.625430407
1,50,50,45,45,2926,1106,94,33,10,4,0.345313747,0.592415936
1,45,45,40,45,2679,1583,280,196,83,76,0.254383568,0.59450122
1,40,40,35,40,561,108,20,22,23,17,0.268363843,0.582146621
1,45,45,40,45,1029,329,47,32,13,12,0.344906626,0.610629399
1,50,50,45,45,1710,401,58,15,3,3,,
1,50,50,40,50,2275,960,100,37,15,11,0.391214768,0.657689541
1,45,45,40,40,97,57,11,10,4,5,0.298900035,0.580305295
1,50,50,45,45,2694,147,19,9,4,3,0.411184125,0.636742555
1,50,50,45,45,544,183,20,6,1,0,0.434618042,0.643442646
1,45,45,40,45,1031,222,42,17,8,13,0.322096258,0.622607551
1,50,50,45,45,1086,115,9,7,1,1,0.377819745,0.616378227
1,45,45,40,45,1100,119,38,6,4,5,0.338352273,0.725858586
1,45,40,35,40,1130,85,33,20,7,12,,
1,50,50,45,45,1743,948,102,27,12,9,0.460254963,0.668156496
1,40,35,35,40,1445,24,28,26,18,14,,
1,45,45,45,40,722,542,91,23,9,9,,
1,45,45,40,50,1389,206,34,18,5,5,,
1,45,45,40,,80,42,10,5,3,1,0.411935838,0.591160481
1,45,45,40,45,2002,870,360,149,59,36,0.350183553,0.622159548
1,50,50,45,45,1922,622,49,13,5,5,,
1,45,45,40,45,2308,410,101,69,48,46,0.242929191,0.586774978
1,50,50,45,45,2002,485,50,17,3,4,0.327963301,0.53899941
1,45,45,40,45,1853,491,108,80,52,47,0.277923967,0.610073044
1,50,50,40,45,1519,164,14,4,1,1,0.398581492,0.612069645
1,40,35,35,35,1664,94,42,27,16,20,0.229450752,0.593854127
1,40,40,35,35,998,14,7,1,1,0,,
1,45,45,40,45,2160,155,20,11,4,10,0.313318372,0.590885555
1,50,50,45,45,1922,622,49,13,5,5,,
1,45,45,40,45,3293,1146,192,114,45,17,0.45185741,0.626610458
1,50,50,45,45,3220,771,50,26,14,9,0.380911738,0.61420291
1,45,45,40,45,559,20,1,1,0,0,0.29939018,0.57995411
1,45,45,40,45,3293,1146,192,114,45,17,0.45185741,0.626610458
1,45,45,40,45,840,377,145,55,25,16,0.239495729,0.49133353
1,45,40,30,,30,11,5,2,1,1,0.164536916,0.536403643
1,45,45,40,,73,42,11,7,0,3,0.285261528,0.578209789
1,50,50,45,45,131,65,6,2,3,1,0.270341142,0.563666498
1,50,50,40,45,169,98,4,3,2,2,0.310307863,0.564128336
1,50,45,45,,12,1,0,0,0,0,,
1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
1,45,45,40,45,60,36,4,2,1,0,0.272852255,0.561717327
1,50,50,50,,14,1,0,0,0,0,,
1,45,45,40,40,2689,629,120,76,37,41,,
1,45,45,40,45,733,31,4,2,2,5,0.28357359,0.586587175
1,45,45,40,45,2645,709,138,64,30,15,0.381326247,0.615567494
1,50,50,45,50,4777,125,26,12,5,3,0.369183153,0.621224894
1,45,45,40,45,912,65,4,2,1,0,0.321056575,0.58576877
1,40,40,35,40,1906,51,22,4,1,0,,
1,50,45,45,45,1717,74,5,3,1,1,0.286133219,0.565892129
1,45,45,35,40,1191,178,45,26,11,6,0.380010092,0.637602514
1,45,45,40,,381,29,1,4,3,2,0.302094326,0.615997701
1,50,45,45,45,880,170,20,7,2,1,0.301420798,0.604042045
1,45,45,45,,533,78,8,3,4,3,0.345717156,0.636518944
1,50,45,45,45,552,20,6,0,0,1,,
1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
1,45,50,40,45,1869,1193,220,105,49,21,0.295940691,0.593530976
1,45,45,40,45,3594,2222,412,203,58,46,0.339978529,0.596733369
1,45,40,30,40,293,121,31,24,20,18,0.239941818,0.646535316
1,45,45,40,45,2679,1583,280,196,83,76,0.254383568,0.59450122
1,50,50,45,,30,14,2,3,1,0,0.289748065,0.596911415
1,50,45,45,45,345,141,19,6,5,4,,
1,45,40,35,40,104,42,12,5,4,12,0.228709606,0.530468815
1,50,45,45,,34,9,1,0,0,0,,
1,45,45,40,40,95,36,5,4,2,2,0.266277903,0.603138702
1,45,45,40,45,51,15,5,7,3,1,0.176240033,0.498880288
1,45,45,40,45,300,99,16,19,9,8,0.211974795,0.571417183
1,50,45,40,45,945,770,89,49,19,9,0.293989317,0.576635901
1,45,45,40,45,2160,155,20,11,4,10,0.313318372,0.590885555
1,45,45,45,40,517,305,24,5,7,8,0.396500662,0.575875101
1,50,50,45,50,321,196,9,1,0,0,,
1,45,45,45,45,318,81,28,6,2,3,0.371802252,0.626309012
1,45,40,40,,13,4,3,0,1,1,,
1,45,40,40,35,267,15,2,0,0,0,,
1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
1,45,50,45,45,1813,632,103,21,7,3,0.421209454,0.635637009
1,45,45,40,,199,57,12,5,3,9,0.251032084,0.60710918
1,45,45,40,,1085,186,37,8,4,5,0.365602418,0.676061139
1,45,45,35,45,325,198,48,23,16,10,0.298889395,0.583224886
1,45,50,45,45,361,264,38,16,12,8,0.360104513,0.626473564
1,45,45,40,40,805,553,110,46,18,7,,
1,50,45,45,45,482,412,40,16,5,9,0.356179871,0.595195409
1,50,50,40,45,2668,2190,239,118,39,17,0.413252454,0.665279154
1,45,45,40,45,108,74,21,5,4,1,0.2458893,0.559734822
1,45,50,40,,54,41,8,1,2,1,0.305098973,0.560655129
1,45,45,35,45,325,198,48,23,16,10,0.298889395,0.583224886
1,45,40,35,40,290,105,86,40,10,11,0.30403288,0.540156635
1,45,40,40,35,183,60,71,22,2,6,,
1,45,45,40,,80,42,10,5,3,1,0.411935838,0.591160481
1,45,45,40,,482,318,57,30,12,8,0.313207725,0.574493189
1,45,45,40,40,155,100,29,11,5,6,0.460365731,0.647524305
1,45,45,40,45,780,450,122,54,21,16,0.506606299,0.645704144
1,50,50,40,45,169,98,4,3,2,2,0.310307863,0.564128336
1,45,45,40,40,446,112,19,10,4,1,0.381140734,0.595726675
1,50,50,45,50,397,144,28,6,1,0,0.418595527,0.597949777
1,50,50,45,,153,89,2,0,1,1,0.302954335,0.65964742
1,45,45,40,40,355,128,38,7,2,1,,
1,50,50,50,,173,33,3,3,1,1,0.2925136,0.572479614
1,50,50,50,,54,17,1,1,0,0,,
1,45,40,40,40,440,128,26,11,17,18,0.249444081,0.574138985
1,45,45,40,45,1364,402,193,40,15,5,,
1,50,45,45,45,1157,611,67,30,18,7,0.391870604,0.633432224
1,50,50,45,45,307,77,8,1,2,0,0.375709447,0.523179101
1,45,45,40,45,894,381,74,22,24,22,0.193529621,0.553206503
1,45,45,40,45,325,141,34,12,6,2,0.173612016,0.480427295
1,50,45,45,45,151,108,4,9,3,2,0.392547746,0.623454278
1,45,45,40,45,874,615,156,36,18,17,0.367668104,0.624569054
1,50,50,45,,507,62,8,1,3,1,,
1,45,45,40,45,866,183,26,26,14,14,0.34696601,0.61692442
1,50,50,45,,13,1,0,0,0,0,,
1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
1,45,45,40,,61,27,12,5,4,3,0.199631648,0.506403283
1,45,45,40,,53,23,3,5,1,1,0.355568236,0.601444677
1,45,40,40,40,175,34,13,8,4,2,,
1,45,45,40,45,1763,1033,238,143,83,46,0.31883725,0.594747189
1,45,50,40,45,1723,945,151,40,16,14,,
1,45,45,40,45,840,377,145,55,25,16,0.239495729,0.49133353
1,45,45,35,45,400,136,49,22,9,7,0.239888651,0.562787437
1,50,50,45,,340,20,1,0,0,0,0.457477436,0.643174421
1,45,50,40,45,1723,945,151,40,16,14,,
1,40,45,35,,37,8,2,1,0,2,,
1,45,45,40,45,1146,656,147,60,17,12,0.386633024,0.621483498
1,45,45,40,40,956,504,105,26,10,6,0.366328548,0.570545889
1,45,50,40,,61,19,11,2,1,1,0.253322739,0.597545735
1,45,45,45,40,231,30,6,2,2,0,,
1,50,45,45,45,440,64,18,1,0,1,0.369546468,0.604165674
1,45,45,40,45,793,371,55,20,9,11,0.37172722,0.638639311
1,45,45,40,45,99,8,1,2,0,1,0.490419501,0.59744898
0,50,50,45,45,706,131,11,2,1,1,0.528691162,0.670096577
0,50,50,45,45,1079,187,18,6,5,4,0.416583663,0.689073542
0,45,45,40,40,1602,983,330,95,65,42,0.39060377,0.588754286
0,40,40,40,35,1201,462,463,161,57,38,0.284487577,0.566384475
0,40,45,35,45,266,164,33,27,26,16,0.301880535,0.562734435
0,45,45,40,45,2107,1275,428,130,52,24,0.396147518,0.612550599
0,45,45,40,45,297,184,56,16,7,4,0.464934185,0.663674228
0,45,40,40,40,2053,806,647,182,59,42,0.383836703,0.575349944
0,45,45,45,40,2848,1836,357,98,37,25,0.466336764,0.656493932
0,45,45,40,nan,661,458,134,35,14,11,0.434610231,0.661645427
0,40,40,40,40,1131,583,295,133,66,48,0.425281549,0.62925618
0,40,45,35,nan,141,92,20,9,10,7,0.336639038,0.606386441
0,40,40,40,40,1746,698,519,226,81,36,0.42352821,0.629152533
0,45,45,40,40,553,313,160,34,24,19,0.37434244,0.627260069
0,45,45,45,40,954,614,229,76,26,9,0.420428273,0.60010087
0,50,50,45,45,200,170,23,4,0,2,0.325337029,0.623745809
0,35,30,30,40,1320,404,374,191,152,124,0.051494393,0.55525223
0,40,40,35,30,199,54,90,26,7,7,0.258459652,0.554236044
0,40,45,35,45,884,402,184,85,41,19,0.346802941,0.686672092
0,45,40,40,45,1060,531,250,95,64,51,0.348376456,0.652359758
0,20,20,20,15,307,28,35,43,23,143,0.145159007,0.556991735
0,40,40,45,nan,57,29,19,5,2,2,0.321823791,0.576087793
0,35,40,35,nan,172,68,56,30,9,8,0.294017534,0.594323823
0,45,45,45,45,81,53,25,0,2,1,0.344833802,0.594133179
0,50,50,45,50,3789,3627,122,15,8,6,0.489229407,0.558545644
0,45,45,45,45,708,272,88,39,14,20,0.527965784,0.65467924
0,45,45,40,40,265,176,49,22,10,5,0.290635138,0.575405151
0,40,40,35,35,214,65,76,46,10,3,0.241801193,0.58605821
0,45,45,45,35,138,78,12,7,6,13,0.340978245,0.549390661
0,40,40,35,40,197,52,90,29,14,12,0.249864964,0.547481769
0,45,45,40,45,933,723,87,25,9,8,0.491539272,0.623782073
0,40,40,40,30,203,75,73,31,9,12,0.262935456,0.554888212
