name,address,url,restaurant_url,InMichelin,food,service,price,decor,number_of_reviews,excellent,very_good,average,poor,terrible,sentiment_polarity,sentiment_subjectivity
HISA FRANKO,"Staro selo 1, Kobarid 5222 Slovenia",https://www.tripadvisor.com/Restaurant_Review-g319788-d1059106-Reviews-HISA_FRANKO-Kobarid_Slovenian_Littoral_Region.html#REVIEWS,http://www.hisafranko.com/,1,45,45,40,45,756,319,50,27,6,9,0.318393432,0.568872123
Palais de Chine Hotel -Le Palais,"No.3, Sec. 1, Chengde Rd., Datong Dist 103, Palais De Chine Hotel 17F, Datong, Taipei 103 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13806451-d4505038-Reviews-Palais_de_Chine_Hotel_Le_Palais-Datong_Taipei.html#REVIEWS,http://www.palaisdechinehotel.com/tw/restaurant-info.php?id=6,1,45,45,40,45,926,49,20,6,4,4,0.348450971,0.601460063
Taïrroir,"6F, No.299, Lequn 3rd Road, Zhongshan District, Taipei 10462 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13808671-d10781430-Reviews-Tairroir-Zhongshan_District_Taipei.html#REVIEWS,http://www.tairroir.com/,1,45,45,40,45,282,64,23,10,1,2,0.36613633,0.591158904
JL Studio,"2F, No.689, Sec.4, Yifeng Rd, Nantun Dist, Nantun, Taichung 408 Taiwan",https://www.tripadvisor.com/Restaurant_Review-g13806759-d12293166-Reviews-JL_Studio-Nantun_Taichung.html#REVIEWS,http://www.facebook.com/jlstudiotaiwan/,1,50,45,45,,24,9,1,0,0,0,,
Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
Quince,"470 Pacific Ave, San Francisco, CA 94133-4610",https://www.tripadvisor.com/Restaurant_Review-g60713-d349411-Reviews-Quince-San_Francisco_California.html#REVIEWS,http://www.quincerestaurant.com/,1,45,50,40,45,555,362,79,30,20,12,0.345423814,0.615246757
SingleThread Farm Restaurant,"131 North St, Healdsburg, CA 95448-3821",https://www.tripadvisor.com/Restaurant_Review-g32482-d12111188-Reviews-SingleThread_Farm_Restaurant-Healdsburg_Sonoma_County_California.html#REVIEWS,http://singlethreadfarms.com/,1,45,50,40,,142,100,17,9,6,6,0.227181947,0.581426505
Addison Restaurant,"5200 Grand Del Mar Way, San Diego, CA 92130-4900",https://www.tripadvisor.com/Restaurant_Review-g60750-d665586-Reviews-Addison_Restaurant-San_Diego_California.html#REVIEWS,http://www.addisondelmar.com/,1,45,50,40,45,293,204,37,18,10,9,0.277714082,0.560364661
Per Se,"10 Columbus Cir, New York City, NY 10019-1158",https://www.tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html#REVIEWS,http://www.perseny.com/,1,45,50,40,45,1869,1193,220,105,49,21,0.295940691,0.593530976
Les Amis,"1 Scotts Road #01-16 Shaw Centre, Singapore 228208 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d1102463-Reviews-Les_Amis-Singapore.html#REVIEWS,http://www.lesamis.com.sg/,1,45,45,40,35,522,307,83,42,17,8,0.35677332,0.596112824
Odette's Restaurant,"130 Regents Park Road Primrose Hill, London NW1 8XL England",https://www.tripadvisor.com/Restaurant_Review-g186338-d720189-Reviews-Odette_s_Restaurant-London_England.html#REVIEWS,http://www.odettesprimrosehill.com/location/,1,45,45,40,40,629,405,93,54,26,13,0.391032766,0.63385739
Noma,"Refshalevej 96, Copenhagen 1432 Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d694971-Reviews-Noma-Copenhagen_Zealand.html#REVIEWS,http://www.noma.dk/,1,45,50,40,45,1778,936,159,60,35,33,0.319728384,0.5872183
Koka,"Viktoriagatan 12, Gothenburg 411 25 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189894-d815919-Reviews-Koka-Gothenburg_Vastra_Gotaland_County_West_Coast.html#REVIEWS,http://www.restaurangkoka.se/,1,45,45,45,45,623,128,29,17,1,2,0.379800559,0.659571126
Operakallaren,"Karl XII's Square, Stockholm 103 22 Sweden",https://www.tripadvisor.com/Restaurant_Review-g189852-d698819-Reviews-Operakallaren-Stockholm.html#REVIEWS,http://operakallaren.se/,1,45,45,45,45,709,238,52,16,7,6,0.436669577,0.638481546
Geranium,"Per Henrik Lings Alle 4, 8., Copenhagen Denmark",https://www.tripadvisor.com/Restaurant_Review-g189541-d1945657-Reviews-Geranium-Copenhagen_Zealand.html#REVIEWS,http://www.geranium.dk/,1,50,45,45,45,1157,611,67,30,18,7,0.391870604,0.633432224
Ta Vie,"74 Queen's Road Central, Central 2/F, The Pottinger, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d8353570-Reviews-Ta_Vie-Hong_Kong.html#REVIEWS,http://tavie.com.hk/,1,45,45,40,,73,42,11,7,0,3,0.285261528,0.578209789
Caprice (Central),"6F, Four Seasons Hotel, Central Four Seasons Hotel Hong Kong, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d912108-Reviews-Caprice_Central-Hong_Kong.html#REVIEWS,http://www.fourseasons.com/hongkong/dining/restaurants/caprice/,1,45,45,40,45,967,552,127,56,21,13,0.285062814,0.561185222
Sushi Yoshitake,"7-8-13 Brown Place 9F, Ginza, Chuo 104-0061 Tokyo Prefecture",https://www.tripadvisor.com/Restaurant_Review-g14129573-d4418384-Reviews-Sushi_Yoshitake-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,http://sushi-yoshitake.com/index.html,1,50,50,40,45,169,98,4,3,2,2,0.310307863,0.564128336
"T'ang Court - The Langham, Hong Kong","No.8 Peking Road Tsim Sha Tsui, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d1023200-Reviews-T_ang_Court_The_Langham_Hong_Kong-Hong_Kong.html#REVIEWS,http://www.langhamhotels.com/en/the-langham/hong-kong/dining/tang-court/,1,40,40,35,40,538,210,88,48,27,24,0.245155607,0.579921292
Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html#REVIEWS,http://www.le-bernardin.com/,1,45,45,40,45,3594,2222,412,203,58,46,0.339978529,0.596733369
8 1/2 Otto e Mezzo Bombana,"202 Alexandra, 18 House Chater Rd.Central, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d2423554-Reviews-8_1_2_Otto_e_Mezzo_Bombana-Hong_Kong.html#REVIEWS,http://www.ottoemezzobombana.com/,1,45,45,40,40,564,273,110,48,17,9,0.27583751,0.535582069
The Eight,"2/F, Grand Lisboa, Avenida e Lisboa Macau Peninsula, Macau China",https://www.tripadvisor.com/Restaurant_Review-g664891-d1217712-Reviews-The_Eight-Macau.html#REVIEWS,http://www.grandlisboahotel.com/dining-the_eight-en,1,45,45,40,45,0,147,61,26,8,7,0.251096644,0.577158507
L'Atelier De Joël Robuchon Saint-Germain,"5 rue Montalembert Hotel Pont Royal, 75007 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718134-Reviews-L_Atelier_De_Joel_Robuchon_Saint_Germain-Paris_Ile_de_France.html#REVIEWS,http://atelier-robuchon-saint-germain.com/,1,45,40,35,40,2757,820,264,144,86,89,0.251161906,0.5404981
Jade Dragon,"Estrada do Istmo, Cotai Level 2, The Shops at The Boulevard, Macau 999078 China",https://www.tripadvisor.com/Restaurant_Review-g664891-d3340556-Reviews-Jade_Dragon-Macau.html#REVIEWS,http://www.cityofdreamsmacau.com/en/dine/chinese/jade-dragon,1,50,45,40,45,185,90,22,8,2,4,0.332811452,0.564128105
De Librije,"Spinhuisplein 1, 8011 ZZ Zwolle The Netherlands",https://www.tripadvisor.com/Restaurant_Review-g188611-d748025-Reviews-De_Librije-Zwolle_Overijssel_Province.html#REVIEWS,http://www.librije.com/,1,50,50,45,45,691,169,11,3,6,1,0.32825783,0.57343058
SaQuaNa,"22 Place Hamelin, 14600, Honfleur France",https://www.tripadvisor.com/Restaurant_Review-g187189-d797717-Reviews-SaQuaNa-Honfleur_Calvados_Basse_Normandie_Normandy.html#REVIEWS,https://www.alexandre-bourdas.com/,1,45,45,45,45,1064,108,16,9,3,5,0.307425281,0.588449488
JAN,"12 rue Lascaris, 06300 Nice France",https://www.tripadvisor.com/Restaurant_Review-g187234-d4975072-Reviews-JAN-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.restaurantjan.com/,1,50,50,45,45,1673,753,65,25,7,6,0.332551327,0.60282573
Restaurant Schwarzwaldstube,"Tonbachstrasse 237 Hotel Traube Tonbach, 72270, Baiersbronn, Baden-Wurttemberg Germany",https://www.tripadvisor.com/Restaurant_Review-g187279-d718344-Reviews-Restaurant_Schwarzwaldstube-Baiersbronn_Baden_Wurttemberg.html#REVIEWS,http://www.traube-tonbach.de/,1,50,45,45,45,440,64,18,1,0,1,0.369546468,0.604165674
Restaurant Schwarzwaldstube,"Tonbachstrasse 237 Hotel Traube Tonbach, 72270, Baiersbronn, Baden-Wurttemberg Germany",https://www.tripadvisor.com/Restaurant_Review-g187279-d718344-Reviews-Restaurant_Schwarzwaldstube-Baiersbronn_Baden_Wurttemberg.html#REVIEWS,http://www.traube-tonbach.de/,1,50,45,45,45,440,64,18,1,0,1,0.369546468,0.604165674
Rutz Restaurant - Weinbar,"Chausseestr. 8 Mitte, 10115 Berlin Germany",https://www.tripadvisor.com/Restaurant_Review-g187323-d718320-Reviews-Rutz_Restaurant_Weinbar-Berlin.html#REVIEWS,http://www.rutz-restaurant.de/,1,45,45,40,40,723,234,78,29,13,17,,
Waldhotel Sonnora Restaurant,"Auf'm Eichelfeld 1, 54518 Dreis, Rhineland-Palatinate Germany",https://www.tripadvisor.com/Restaurant_Review-g20304189-d1557845-Reviews-Waldhotel_Sonnora_Restaurant-Dreis_Rhineland_Palatinate.html#REVIEWS,http://www.hotel-sonnora.de/,1,50,50,45,45,247,43,2,1,1,0,0.333771802,0.551173093
Restaurant Schanz,"Bahnhofstr. 8a, 54498 Piesport, Rhineland-Palatinate Germany",https://www.tripadvisor.com/Restaurant_Review-g319769-d2714940-Reviews-Restaurant_Schanz-Piesport_Rhineland_Palatinate.html#REVIEWS,http://www.schanz-restaurant.de/,1,50,45,45,50,256,30,2,0,0,0,,
Victor's Fine Dining by Christian Bau,"Schlossstrasse 27-29, 66706 Nennig, Saarland Germany",https://www.tripadvisor.com/Restaurant_Review-g1185063-d2043640-Reviews-Victor_s_Fine_Dining_by_Christian_Bau-Nennig_Saarland.html#REVIEWS,http://www.victors-fine-dining.de/,1,50,45,45,45,273,48,4,7,0,4,0.311457592,0.547830836
The Table Kevin Fehling,"Shanghaiallee 15, 20457 Hamburg Germany",https://www.tripadvisor.com/Restaurant_Review-g187331-d8561371-Reviews-The_Table_Kevin_Fehling-Hamburg.html#REVIEWS,http://www.thetable-hamburg.de/,1,50,50,45,,244,32,2,2,2,1,,
L'Enclume,"Cavendish Street, Cartmel, Grange-over-Sands LA11 6QA England",https://www.tripadvisor.com/Restaurant_Review-g499539-d800663-Reviews-L_Enclume-Cartmel_Grange_over_Sands_Lake_District_Cumbria_England.html#REVIEWS,http://www.lenclume.co.uk/,1,45,45,45,45,3136,2556,318,155,53,43,0.329225775,0.611921313
Alain Ducasse at The Dorchester,"53 Park Lane Closest tube stations: Hyde Park Corner and Marble Arch, London W1K 1QA England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html#REVIEWS,https://www.dorchestercollection.com/london/the-dorchester/dining/alain-ducasse,1,45,45,40,45,1763,1033,238,143,83,46,0.31883725,0.594747189
Hélène Darroze at The Connaught,"16 Carlos Place Mayfair, London W1K 2AL England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1237584-Reviews-Helene_Darroze_at_The_Connaught-London_England.html#REVIEWS,http://www.the-connaught.co.uk/mayfair-restaurants/helene-darroze/,1,45,45,40,45,1319,777,178,97,62,25,0.282461018,0.611216108
The Fat Duck,"Opec House High Street, Bray on Thames SL6 2AQ England",https://www.tripadvisor.com/Restaurant_Review-g528798-d1571626-Reviews-The_Fat_Duck-Bray_on_Thames_Berkshire_England.html#REVIEWS,http://www.thefatduck.co.uk/,1,45,50,40,45,2276,1763,214,91,65,57,0.369830247,0.564382716
Restaurant Gordon Ramsay,"68 Royal Hospital Road, London SW3 4HP England",https://www.tripadvisor.com/Restaurant_Review-g186338-d719242-Reviews-Restaurant_Gordon_Ramsay-London_England.html#REVIEWS,http://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,1,45,50,40,45,3356,2185,317,151,60,41,0.260318965,0.59435756
Restaurant Gordon Ramsay,"68 Royal Hospital Road, London SW3 4HP England",https://www.tripadvisor.com/Restaurant_Review-g186338-d719242-Reviews-Restaurant_Gordon_Ramsay-London_England.html#REVIEWS,http://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,1,45,50,40,45,3356,2185,317,151,60,41,0.260318965,0.59435756
Waterside Inn,"The Waterside Ferry Road The Waterside, Bray on Thames SL6 2AT England",https://www.tripadvisor.com/Restaurant_Review-g528798-d752171-Reviews-Waterside_Inn-Bray_on_Thames_Berkshire_England.html#REVIEWS,http://www.waterside-inn.co.uk/,1,45,50,40,45,1860,1517,170,90,26,19,0.405855835,0.637044296
Vrijmoed,"Vlaanderenstraat 22, Ghent 9000 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188666-d4014169-Reviews-Vrijmoed-Ghent_East_Flanders_Province.html#REVIEWS,http://vrijmoed.be/en/,1,45,45,45,40,619,111,23,13,4,0,0.357434767,0.593191616
The Jane,"Paradeplein 1, Antwerp 2018 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188636-d6463219-Reviews-The_Jane-Antwerp_Antwerp_Province.html#REVIEWS,http://www.thejaneantwerp.com/,1,45,45,45,45,1664,270,46,17,10,5,,
Hof van Cleve,"Riemegemstraat 1, Kruishoutem 9770 Belgium",https://www.tripadvisor.com/Restaurant_Review-g954018-d967590-Reviews-Hof_van_Cleve-Kruishoutem_East_Flanders_Province.html#REVIEWS,http://hofvancleve.com/,1,50,50,45,45,483,92,7,6,2,0,0.350102803,0.594742403
La Vague d'Or,"Plage de la Bouillabaisse Residence Pinede, 83990, Saint-Tropez France",https://www.tripadvisor.com/Restaurant_Review-g187242-d1153165-Reviews-La_Vague_d_Or-Saint_Tropez_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,https://www.chevalblanc.com/fr/la-vague-d-or-st-tropez/,1,50,50,45,50,473,91,10,4,1,3,0.364360643,0.560561772
Auberge Du Vieux Puits,"5 avenue Saint Victor, 11360 Fontjoncouse France",https://www.tripadvisor.com/Restaurant_Review-g674102-d794269-Reviews-Auberge_Du_Vieux_Puits-Fontjoncouse_Aude_Occitanie.html#REVIEWS,http://www.aubergeduvieuxpuits.fr/,1,50,45,45,45,1246,85,7,2,0,0,0.33285821,0.577816726
Hotel Restaurant Regis & Jacques Marcon,"Lieu Dit Larsiallas, 43290 Saint-Bonnet-le-Froid France",https://www.tripadvisor.com/Restaurant_Review-g950950-d967560-Reviews-Hotel_Restaurant_Regis_Jacques_Marcon-Saint_Bonnet_le_Froid_Haute_Loire_Auvergne_R.html#REVIEWS,http://www.regismarcon.fr/,1,50,50,45,45,1167,42,1,0,0,0,0.375511273,0.597038514
PIC,"285 avenue Victor Hugo, 26001 Valence France",https://www.tripadvisor.com/Restaurant_Review-g187272-d719830-Reviews-PIC-Valence_Drome_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.anne-sophie-pic.com/,1,50,50,45,45,2694,147,19,9,4,3,0.411184125,0.636742555
Troisgros,"728 route de Villerest, 42155 Ouches, Roanne France",https://www.tripadvisor.com/Restaurant_Review-g3845710-d12334831-Reviews-Troisgros-Ouches_Roanne_Loire_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.troisgros.com/,1,45,50,45,,258,18,3,1,2,0,0.424625514,0.667437927
Restaurant Le Clos des Sens,"13 rue Jean Mermoz, 74940 Annecy-le-Vieux France",https://www.tripadvisor.com/Restaurant_Review-g1080922-d814341-Reviews-Restaurant_Le_Clos_des_Sens-Annecy_le_Vieux_Haute_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,http://www.closdessens.com/,1,45,45,40,45,969,69,13,6,6,4,0.418219237,0.633220182
la marine,"rue Marie-Lemonnier, Noirmoutier en l'Ile, Ile de Noirmoutier France",https://www.tripadvisor.com/Restaurant_Review-g425088-d942593-Reviews-La_marine-Noirmoutier_en_l_Ile_Ile_de_Noirmoutier_Vendee_Pays_de_la_Loire.html#REVIEWS,http://www.alexandrecouillon.com/,1,50,50,45,45,656,29,4,1,0,0,0.351011193,0.591544247
Le Vivier restaurant,"800 cours Fernande Peyre, 84800, L'Isle-sur-la-Sorgue France",https://www.tripadvisor.com/Restaurant_Review-g608811-d1754579-Reviews-Le_Vivier_restaurant-L_Isle_sur_la_Sorgue_Vaucluse_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.levivier-restaurant.com/,1,45,45,45,45,1839,228,42,13,8,3,0.429329406,0.612529576
Les Pres d'Eugenie - Restaurant Michel Guérard,"334 rue Rene Vielle, 40320 Eugenie Les Bains France",https://www.tripadvisor.com/Restaurant_Review-g950951-d952147-Reviews-Les_Pres_d_Eugenie_Restaurant_Michel_Guerard-Eugenie_Les_Bains_Landes_Nouvelle_Aqu.html#REVIEWS,http://lespresdeugenie.com/,1,50,45,45,45,616,61,5,4,2,2,0.368438786,0.561004731
Le Cinq,"31 Avenue George V Four Seasons Hôtel George V, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html#REVIEWS,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?seo=google_local_par2_emea,1,50,50,40,50,2275,960,100,37,15,11,0.391214768,0.657689541
Le 1947 à Cheval Blanc,"Le Jardin Alpin Le Jardin Alpin, 73120, Courchevel France",https://www.tripadvisor.com/Restaurant_Review-g187262-d2440966-Reviews-Le_1947_a_Cheval_Blanc-Courchevel_Savoie_Auvergne_Rhone_Alpes.html#REVIEWS,https://www.chevalblanc.com/fr/maison/courchevel/restaurants-et-bars/le-1947-cheval-blanc-courchevel/?y_source=1_MTkzOTcyOTctNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,1,45,50,40,45,66,23,0,1,3,2,0.351904251,0.625430407
Epicure,"112 Rue Du Faubourg Saint-Honore Le Bristol Paris, 75008 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html#REVIEWS,http://www.lebristolparis.com/fr/gastronomie/epicure/,1,50,50,45,45,2926,1106,94,33,10,4,0.345313747,0.592415936
Eleven Madison Park,"11 Madison Ave, New York City, NY 10010-3643",https://www.tripadvisor.com/Restaurant_Review-g60763-d479020-Reviews-Eleven_Madison_Park-New_York_City_New_York.html#REVIEWS,http://www.elevenmadisonpark.com/,1,45,45,40,45,2679,1583,280,196,83,76,0.254383568,0.59450122
L'Ambroisie,"9 Place des Vosges, 75004 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718111-Reviews-L_Ambroisie-Paris_Ile_de_France.html#REVIEWS,http://www.ambroisie-paris.com/,1,40,40,35,40,561,108,20,22,23,17,0.268363843,0.582146621
